#SampleID	BarcodeSequence	LinkerPrimerSequence	Gene	Fragment_length _bp	Field_ID	Type_of _Wastewater	Month_Collected	Sampling_Location	Description	singles_even_1410_alpha	singles_even_1410_normalized_alpha	singles_even_1410_alpha_label	simpson_e_even_1410_alpha	simpson_e_even_1410_normalized_alpha	simpson_e_even_1410_alpha_label	observed_species_even_1410_alpha	observed_species_even_1410_normalized_alpha	observed_species_even_1410_alpha_label	goods_coverage_even_1410_alpha	goods_coverage_even_1410_normalized_alpha	goods_coverage_even_1410_alpha_label	shannon_even_1410_alpha	shannon_even_1410_normalized_alpha	shannon_even_1410_alpha_label
SKW153			amoA	349	PO05S	OWTS	August	SP2	SKW153	12.838028169	0.433664374841	bin_2_of_4	0.0420467968492	0.0129843756044	bin_1_of_4	39.7957746479	0.446569492155	bin_2_of_4	0.990895015483	0.566335625157	bin_3_of_4	1.68119014141	0.362283923249	bin_2_of_4
SKW154			amoA	349	PO06A	OWTS	August	SP2	SKW154	6.49295774648	0.204227145404	bin_1_of_4	0.139944722166	0.219551822448	bin_1_of_4	20.7957746479	0.196082072231	bin_1_of_4	0.995395065428	0.795772854591	bin_4_of_4	2.14136525329	0.490826810814	bin_2_of_4
SKW155			amoA	349	JA11F	OWTS	August	SP2	SKW155	0.943661971831	0.00356506238859	bin_1_of_4	0.322242713246	0.604205843052	bin_3_of_4	7.25352112676	0.0175471172593	bin_1_of_4	0.99933073619	0.996434937612	bin_4_of_4	1.62035624264	0.345290902969	bin_2_of_4
SKW156			amoA	349	PO08S	OWTS	August	SP2	SKW156	0.845070422535	0.0	bin_1_of_4	0.429001622697	0.829470222062	bin_4_of_4	8.5985915493	0.0352799182991	bin_1_of_4	0.999400659275	1.0	bin_4_of_4	2.2574193383	0.523244746543	bin_3_of_4
SKW157			amoA	349	PO09S	OWTS	August	SP1	SKW157	3.0985915493	0.0814871403107	bin_1_of_4	0.275345852419	0.505252113698	bin_3_of_4	12.5774647887	0.0877355862965	bin_1_of_4	0.997802417341	0.918512859689	bin_4_of_4	2.04358520275	0.463513447449	bin_2_of_4
SKW158			amoA	349	PO09S	OWTS	August	SP2	SKW158	2.07746478873	0.0445632798574	bin_1_of_4	0.225409524258	0.39988502058	bin_2_of_4	17.2323943662	0.149104075759	bin_1_of_4	0.998526620717	0.955436720148	bin_4_of_4	2.50552463405	0.592549170689	bin_3_of_4
SKW159			amoA	349	NK02F	OWTS	August	SP1	SKW159	11.6690140845	0.391392920805	bin_2_of_4	0.0587816398885	0.0482953772293	bin_1_of_4	38.7816901408	0.433200259957	bin_2_of_4	0.991724103486	0.60860707919	bin_3_of_4	2.14859418662	0.492846102905	bin_2_of_4
SKW160			amoA	349	NK03F	OWTS	August	SP1	SKW160	3.38732394366	0.091927680163	bin_1_of_4	0.179750134348	0.303542390564	bin_2_of_4	17.3521126761	0.150682387893	bin_1_of_4	0.997597642593	0.908072319837	bin_4_of_4	2.08206603148	0.474262479095	bin_2_of_4
SKW161			amoA	349	NK03F	OWTS	August	SP2	SKW161	2.05633802817	0.043799337917	bin_1_of_4	0.135975772862	0.211177224908	bin_1_of_4	13.6549295775	0.101940395506	bin_1_of_4	0.998541604236	0.956200662088	bin_4_of_4	1.47253091257	0.303998155291	bin_2_of_4
SKW162			amoA	349	PO02	OWTS	August	SP2	SKW162	1.29577464789	0.0162974280621	bin_1_of_4	0.155071107818	0.25146893258	bin_2_of_4	11.7253521127	0.076501717575	bin_1_of_4	0.999081010888	0.983702571941	bin_4_of_4	1.46453377956	0.301764278354	bin_2_of_4
